INV_ID,INP_TYP,ART_ID,VPK_ID,LGP_NR,INP_SOLL,INP_IST,INP_ESP,INP_EKP,INP_VSP,INP_VKP,INP_INFO,INP_DELART,INP_STATUS,INP_WEK,INP_UML,INP_KST,INP_IST0,INP_IST1,INP_IST2,INP_IST3,INP_IST4,INP_IST5,INP_IST6,INP_IST7,INP_IST8,INP_IST9,INP_EP1,INP_EP2,INP_CHANGED,REPLICATED,INP_IST10,SPA_NR,WGR_NR
1,4,876,3,,0,64,0.000,0.000,0,0,,1,0,,,,64,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,876,3,,0,64,0.000,0.000,0,0,,1,0,,,,64,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,877,3,,0,48,0.000,0.000,0,0,,1,0,,,,48,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,877,3,,0,48,0.000,0.000,0,0,,1,0,,,,48,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,1030,3,,0,40,0.000,0.000,0,0,,1,0,,,,40,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,1030,3,,0,40,0.000,0.000,0,0,,1,0,,,,40,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,1040,3,,0,40,0.000,0.000,0,0,,1,0,,,,40,0,0,0,0,0,0,0,0,0,0,0,1,,,37,444
1,4,1040,3,,0,40,0.000,0.000,0,0,,1,0,,,,40,0,0,0,0,0,0,0,0,0,0,0,1,,,37,444
1,4,1009,3,,0,8,0.000,0.000,0,0,,1,0,,,,8,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,1009,3,,0,8,0.000,0.000,0,0,,1,0,,,,8,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,864,3,,0,20,0.000,0.000,0,0,,1,0,,,,20,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,864,3,,0,20,0.000,0.000,0,0,,1,0,,,,20,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,834,3,,0,17,0.000,0.000,0,0,,1,0,,,,17,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,834,3,,0,17,0.000,0.000,0,0,,1,0,,,,17,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,956,3,,0,40,0.000,0.000,0,0,,1,0,,,,40,0,0,0,0,0,0,0,0,0,0,0,1,,,36,62
1,4,956,3,,0,40,0.000,0.000,0,0,,1,0,,,,40,0,0,0,0,0,0,0,0,0,0,0,1,,,36,62
1,4,866,3,,0,32,0.000,0.000,0,0,,1,0,,,,32,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,866,3,,0,32,0.000,0.000,0,0,,1,0,,,,32,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,868,3,,0,42,0.000,0.000,0,0,,1,0,,,,42,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,868,3,,0,42,0.000,0.000,0,0,,1,0,,,,42,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,867,3,,0,50,0.000,0.000,0,0,,1,0,,,,50,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,867,3,,0,50,0.000,0.000,0,0,,1,0,,,,50,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,1028,3,,0,40,0.000,0.000,0,0,,1,0,,,,40,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,1028,3,,0,40,0.000,0.000,0,0,,1,0,,,,40,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,1021,3,,0,22,0.000,0.000,0,0,,1,0,,,,22,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,1021,3,,0,22,0.000,0.000,0,0,,1,0,,,,22,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,1032,3,,0,101,0.000,0.000,0,0,,1,0,,,,101,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,1032,3,,0,101,0.000,0.000,0,0,,1,0,,,,101,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,955,3,,0,150,0.000,0.000,0,0,,1,0,,,,150,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,955,3,,0,150,0.000,0.000,0,0,,1,0,,,,150,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,954,3,,0,107,0.000,0.000,0,0,,1,0,,,,107,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,954,3,,0,107,0.000,0.000,0,0,,1,0,,,,107,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,873,3,,0,4,0.000,0.000,0,0,,1,0,,,,4,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,873,3,,0,4,0.000,0.000,0,0,,1,0,,,,4,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,870,3,,0,8,0.000,0.000,0,0,,1,0,,,,8,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,870,3,,0,8,0.000,0.000,0,0,,1,0,,,,8,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,1023,3,,0,20,0.000,0.000,0,0,,1,0,,,,20,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,1023,3,,0,20,0.000,0.000,0,0,,1,0,,,,20,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,1039,3,,0,48,0.000,0.000,0,0,,1,0,,,,48,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,1039,3,,0,48,0.000,0.000,0,0,,1,0,,,,48,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,1033,3,,0,72,0.000,0.000,0,0,,1,0,,,,72,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,1033,3,,0,72,0.000,0.000,0,0,,1,0,,,,72,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,1029,3,,0,48,0.000,0.000,0,0,,1,0,,,,48,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,1029,3,,0,48,0.000,0.000,0,0,,1,0,,,,48,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,1025,3,,0,11,0.000,0.000,0,0,,1,0,,,,11,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,1025,3,,0,11,0.000,0.000,0,0,,1,0,,,,11,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,1018,3,,0,34,0.000,0.000,0,0,,1,0,,,,34,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,1018,3,,0,34,0.000,0.000,0,0,,1,0,,,,34,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,1024,3,,0,17,0.000,0.000,0,0,,1,0,,,,17,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,1024,3,,0,17,0.000,0.000,0,0,,1,0,,,,17,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,669,3,,0,1,0.000,0.000,0,0,,1,0,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,669,3,,0,1,0.000,0.000,0,0,,1,0,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,1022,3,,0,10,0.000,0.000,0,0,,1,0,,,,10,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,1022,3,,0,10,0.000,0.000,0,0,,1,0,,,,10,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
1,4,781,3,,0,30,0.000,0.000,0,0,,1,0,,,,30,0,0,0,0,0,0,0,0,0,0,0,1,,,37,431
